,acc_name,clean_name
479,Lachnoclostridium_phytofermentans,lachnoclostridium_phytofermentans
480,Paenibacillus_sp_PAMC,paenibacillus_sp_pamc
481,Peptoniphilus_rhinitidis_1-13,peptoniphilus_rhinitidis_1-13
482,"Caldicellulosiruptor_lactoaceticus_6A,",caldicellulosiruptor_lactoaceticus_6a
483,Clostridiaceae_bacterium_14S0207,clostridiaceae_bacterium_14s0207
484,Gemmiger_sp_An120,gemmiger_sp_an120
485,Oscillibacter_sp_ER4,oscillibacter_sp_er4
486,Acetitomaculum_ruminis_DSM,acetitomaculum_ruminis_dsm
487,Clostridioides_difficile_CD160,clostridioides_difficile_cd160
488,Paenibacillus_sp_HW567,paenibacillus_sp_hw567
489,Oribacterium_sp_NK2B42,oribacterium_sp_nk2b42
490,Lachnotalea_glycerini,lachnotalea_glycerini
491,"Paenibacillus_sp_UNC496MF,",paenibacillus_sp_unc496mf
492,Desulfitobacterium_metallireducens_DSM,desulfitobacterium_metallireducens_dsm
493,Maledivibacter_halophilus,maledivibacter_halophilus
494,aerotolerans_DSM_5434,aerotolerans_dsm_5434
495,Clostridium_sp_chh4-2,clostridium_sp_chh4-2
496,Acidaminococcus_provencensis,acidaminococcus_provencensis
497,Halanaerobium_praevalens_DSM,halanaerobium_praevalens_dsm
498,Clostridium_tepidum,clostridium_tepidum
499,Hungateiclostridium_clariflavum_DSM,hungateiclostridium_clariflavum_dsm
500,Ruminococcus_flavefaciens_ATCC,ruminococcus_flavefaciens_atcc
501,Melghirimyces_profundicolus,melghirimyces_profundicolus
502,Dialister_micraerophilus_DSM,dialister_micraerophilus_dsm
503,Paenibacillus_ehimensis_A2,paenibacillus_ehimensis_a2
504,Caldalkalibacillus_thermarum_TA2.A1,caldalkalibacillus_thermarum_ta2.a1
505,hylemonae_DSM_15053,hylemonae_dsm_15053
506,Anaerosphaera_aminiphila_DSM,anaerosphaera_aminiphila_dsm
507,Paenibacillus_herberti,paenibacillus_herberti
508,indolis_DSM_755,indolis_dsm_755
509,Allisonella_histaminiformans,allisonella_histaminiformans
510,Paenibacillus_sp_EZ-K15,paenibacillus_sp_ez-k15
511,Butyrivibrio_fibrisolvens,butyrivibrio_fibrisolvens
512,Massilimaliae_timonensis,massilimaliae_timonensis
513,Anaerosalibacter_sp_Marseille-P3206,anaerosalibacter_sp_marseille-p3206
514,Clostridium_celatum_DSM,clostridium_celatum_dsm
515,Clostridium_sp_ASF356,clostridium_sp_asf356
516,Lachnospiraceae_bacterium_NK4A179,lachnospiraceae_bacterium_nk4a179
517,Lacrimispora_celerecrescens,lacrimispora_celerecrescens
518,Paenibacillus_ferrarius,paenibacillus_ferrarius
519,Haloimpatiens_massiliensis,haloimpatiens_massiliensis
520,Clostridium_saccharobutylicum_DSM,clostridium_saccharobutylicum_dsm
521,Lachnospira_multipara_LB2003,lachnospira_multipara_lb2003
522,Lachnospira_multipara_ATCC,lachnospira_multipara_atcc
523,Clostridium_carboxidivorans_P7,clostridium_carboxidivorans_p7
524,Pelosinus_propionicus_DSM,pelosinus_propionicus_dsm
525,Alterileibacterium_massiliense,alterileibacterium_massiliense
526,Effusibacillus_lacus,effusibacillus_lacus
527,Ruminiclostridium_hungatei,ruminiclostridium_hungatei
528,"Anaerococcus_sp_Marseille-P3915,",anaerococcus_sp_marseille-p3915
529,Faecalibacterium_prausnitzii_A2-165,faecalibacterium_prausnitzii_a2-165
530,paradoxum_JW-YL-7_=,paradoxum_jw-yl-7_=
531,Sporobacter_termitidis_DSM,sporobacter_termitidis_dsm
532,Eubacterium_oxidoreducens,eubacterium_oxidoreducens
533,Anaerovibrio_lipolyticus_LB2005,anaerovibrio_lipolyticus_lb2005
534,Brevibacillus_choshinensis,brevibacillus_choshinensis
535,Alicyclobacillus_acidiphilus_NBRC,alicyclobacillus_acidiphilus_nbrc
536,Paenibacillus_darwinianus,paenibacillus_darwinianus
537,Intestinibacillus_massiliensis,intestinibacillus_massiliensis
538,"Caldicellulosiruptor_obsidiansis_OB47,",caldicellulosiruptor_obsidiansis_ob47
539,Lachnospiraceae_bacterium_MA2020,lachnospiraceae_bacterium_ma2020
540,Selenomonas_flueggei_ATCC,selenomonas_flueggei_atcc
541,Halothermothrix_orenii_H,halothermothrix_orenii_h
542,"Lachnoclostridium_phytofermentans_ISDg,",lachnoclostridium_phytofermentans_isdg
543,Intestinimonas_massiliensis,intestinimonas_massiliensis
544,Paenibacillus_elgii,paenibacillus_elgii
545,Butyrivibrio_sp_NC2007,butyrivibrio_sp_nc2007
546,"Tepidanaerobacter_acetatoxydans_Re1,",tepidanaerobacter_acetatoxydans_re1
