,SUID,shared name,name,selected,EdgeCount,Indegree,Outdegree,activity,canonicalName,geneName,locus_tag.d6,sporulation,operon,Goe3_log2_fold_change,pDR110_log2_fold_change,sigF_log2_fold_change,sigG_log2_fold_change,SP10_log2_fold_change,ELDg168_log2_fold_change,ELDg169_log2_fold_change,infomap,betweenness,pagerank,novelProportion,priorProportion,0_GLay_cluster,node.shape,node.label
903,36064,BSU19610,BSU19610,False,2,2,0,target,BSU19610,yodI,A8O17_RS10205,1,yodI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0003234944949013992,,,,,
904,36063,BSU34510,BSU34510,False,1,1,0,target,BSU34510,yvdQ,A8O17_RS16840,1,yvdQ,0.0,0.0,10.1224424540593,8.519335348,0.0,0.0,5.33599430191795,1,0.0,0.0003216467513135777,,,,,
905,36062,BSU31250,BSU31250,False,2,2,0,target,BSU31250,tlpA,A8O17_RS15135,0,tlpA→mcpA,0.0,0.0,-1.63085562539928,-1.633270737,0.0,-1.24541455836956,-3.13552290945786,3,0.0,0.0003249108272234008,,,,,
906,36061,BSU28540,BSU28540,False,2,2,0,target,BSU28540,fadB,A8O17_RS13630,0,fadR→etfA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.00034111383833536525,,,,,
907,36060,BSU37720,BSU37720,False,2,2,0,target,BSU37720,bacC,A8O17_RS18515,0,bacA→bacF,0.0,0.0,-5.19416898338696,-3.272385121,0.0,-0.8636856602531471,-4.21894673966742,2,0.0,0.0003314774325575686,,,,,
908,36058,BSU36740,BSU36740,False,1,1,0,target,BSU36740,ywmC,A8O17_RS18005,0,ywmC,0.0,0.0,0.0,0.0,0.0,0.0,2.89191886220268,1,0.0,0.0003271515521326437,,,,,
909,36057,BSU18160,BSU18160,False,1,1,0,target,BSU18160,xynD,A8O17_RS09390,0,xynD→xynC,0.0,0.0,-2.84493946899427,-1.550869018,0.0,0.0,0.0,3,0.0,0.00032180955610196807,,,,,
910,36056,BSU18180,BSU18180,False,2,2,0,target,BSU18180,yngB,A8O17_RS09405,0,yngA→yngC,0.0,0.0,1.94225476369936,0.0,0.0,0.0,2.89321482489401,3,0.0,0.00034927364542653496,,,,,
911,36055,BSU34500,BSU34500,False,1,1,0,target,BSU34500,yvdR,A8O17_RS16835,0,yvdT→yvdR,0.0,0.0,3.23019510381031,1.679326402,0.0,2.19968401109505,2.69235880162328,9,0.0,0.00038843207012012566,,,,,
912,36054,BSU30800,BSU30800,False,2,2,0,target,BSU30800,menB,A8O17_RS14780,0,menF→menC,0.0,0.0,2.8628693632494,0.0,0.0,0.0,0.0,5,0.0,0.00032437479001809597,,,,,
